id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1000,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,14788.0,ORANG,2020
1001,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,67522.0,ORANG,2020
1002,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,72817.0,ORANG,2020
1003,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (UMUM),75799.0,ORANG,2020
1004,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (KEJURUAN),119828.0,ORANG,2020
1005,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,39977.0,ORANG,2020
1006,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2697.0,ORANG,2020
1007,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,27546.0,ORANG,2020
1008,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,30293.0,ORANG,2020
1009,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (UMUM),29303.0,ORANG,2020
1010,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (KEJURUAN),14473.0,ORANG,2020
1011,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5786.0,ORANG,2020
1012,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,4934.0,ORANG,2020
1013,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,42686.0,ORANG,2020
1014,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,30918.0,ORANG,2020
1015,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (UMUM),24505.0,ORANG,2020
1016,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (KEJURUAN),24631.0,ORANG,2020
